text,referenced_tweets,id,author_id,edit_history_tweet_ids,created_at,entities.mentions,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id
RT @Infosys: We are delighted to announce the launch of our new #GenAI platform with @RafaelNadal. Unleash your creativity through generati…,"[{'type': 'retweeted', 'id': '1749406750195773565'}]",1760971102103490795,54516759.0,['1760971102103490795'],2024-02-23T10:13:22.000Z,"[{'start': 3, 'end': 11, 'username': 'Infosys', 'id': '14462907'}, {'start': 85, 'end': 97, 'username': 'RafaelNadal', 'id': '344634424'}]",709.0,0.0,0.0,0.0,0.0,0.0,
"RT @edwardlimp: @rovercrc The problem is you mentioned unnecessary things too often, igo (in grok's opinion).

Remember our agreement that…","[{'type': 'retweeted', 'id': '1760967808882762145'}]",1760970913397309573,1.6617824730328392e+18,['1760970913397309573'],2024-02-23T10:12:37.000Z,"[{'start': 3, 'end': 14, 'username': 'edwardlimp', 'id': '1694032671620362240'}, {'start': 16, 'end': 25, 'username': 'rovercrc', 'id': '1353384573435056128'}]",10.0,0.0,0.0,0.0,0.0,0.0,
"RT @BrnMetaverse: 💡 $BRN is everywhere

🚀 We are growing our marketing efforts

🧙We will make it possible for everyone to know us

🌍 The wo…","[{'type': 'retweeted', 'id': '1760318913848504342'}]",1760970867607998725,2753973965.0,['1760970867607998725'],2024-02-23T10:12:26.000Z,"[{'start': 3, 'end': 16, 'username': 'BrnMetaverse', 'id': '1479901548209655808'}]",60.0,0.0,0.0,0.0,0.0,0.0,
"RT @kortizart: The Biden Harris administration is proud to bring you “AI safety (tm)” brought to you by Open AI, Google, Meta, Anthropic an…","[{'type': 'retweeted', 'id': '1760820176780775519'}]",1760970809063960931,3688994482.0,['1760970809063960931'],2024-02-23T10:12:12.000Z,"[{'start': 3, 'end': 13, 'username': 'kortizart', 'id': '204406420'}]",398.0,0.0,0.0,0.0,0.0,0.0,
A thread of all GenAI projects that I have built till now🧵 https://t.co/t9wixwX4ZC,,1760970779888419317,1.3711031504935035e+18,['1760970779888419317'],2024-02-23T10:12:05.000Z,,0.0,1.0,7.0,0.0,9.0,865.0,
"RT @edwardlimp: @rovercrc The problem is you mentioned unnecessary things too often, igo (in grok's opinion).

Remember our agreement that…","[{'type': 'retweeted', 'id': '1760967808882762145'}]",1760970763123974608,1.75986886338952e+18,['1760970763123974608'],2024-02-23T10:12:01.000Z,"[{'start': 3, 'end': 14, 'username': 'edwardlimp', 'id': '1694032671620362240'}, {'start': 16, 'end': 25, 'username': 'rovercrc', 'id': '1353384573435056128'}]",10.0,0.0,0.0,0.0,0.0,0.0,
"RT @vafaaa_cmt: The new website acts as a beacon, illuminating a future where #BADIDEAAI continues to pioneer advancements and redefine ind…","[{'type': 'retweeted', 'id': '1760682915699339585'}]",1760970569376248236,1.684586211422212e+18,['1760970569376248236'],2024-02-23T10:11:15.000Z,"[{'start': 3, 'end': 14, 'username': 'vafaaa_cmt', 'id': '1617897096824381440'}]",10.0,0.0,0.0,0.0,0.0,0.0,
@GenAi_offi JzRURv1UKBAYCrD4ekQiJhV5uNRvSLytGxf1fvEaCfT,"[{'type': 'replied_to', 'id': '1760643039670771756'}]",1760970561629622533,1.7473273908488233e+18,['1760970561629622533'],2024-02-23T10:11:13.000Z,"[{'start': 0, 'end': 11, 'username': 'GenAi_offi', 'id': '1663269489515872267'}]",0.0,1.0,1.0,0.0,0.0,1.0,1.6632694895158723e+18
"RT @HeyAbhishekk: How to Launch your online business in 48 hours with $0

1. Bubble— Create website

2. Namelix— AI name generator

3. Canv…","[{'type': 'retweeted', 'id': '1760894176517083193'}]",1760970546051780810,1.0632553890498847e+18,['1760970546051780810'],2024-02-23T10:11:10.000Z,"[{'start': 3, 'end': 16, 'username': 'HeyAbhishekk', 'id': '1547059723811229696'}]",256.0,0.0,0.0,0.0,0.0,0.0,
"RT @GenAi_offi: #GenAi AIRDROP

We’re doing a MASSIVE #AirDrop of 10,000,000 $GenAi ! 
 
1000 winners will be selected and will receive 10,…","[{'type': 'retweeted', 'id': '1760643039670771756'}]",1760970541777981940,1.7473273908488233e+18,['1760970541777981940'],2024-02-23T10:11:09.000Z,"[{'start': 3, 'end': 14, 'username': 'GenAi_offi', 'id': '1663269489515872267'}]",335.0,0.0,0.0,0.0,0.0,0.0,
